Adv2,INTERACTABLES,8,5,,,,,
1,0,1,11,IA021,0,0,2,5
2,0,17,25,IA040,-29,0,60,19
4,0,6,14,IA021,0,0,2,6
5,0,20,20,IA021,0,0,7,2
6,0,18,11,IA021,0,0,6,2
7,0,1,29,IA014,0,-29,0,0
0,1,24,13,IA024,1,-45,0,0
0,1,24,24,IA045,-24,-56,0,0
1,1,15,4,IA115,0,0,0,0
2,1,24,19,IA021,0,0,2,5
3,1,9,5,IA043,-105,-37,0,0
3,1,27,5,IA008,1,-37,0,0
3,1,8,9,IA003,-104,-41,0,0
3,1,1,26,IA021,0,0,6,2
4,1,10,3,TOGGLE_PLAYER_LAYER__BACK,0,0,6,3
4,1,19,3,IA015,0,-35,0,0
4,1,10,6,TOGGLE_PLAYER_LAYER__BACK,0,0,3,22
4,1,13,6,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,21
4,1,25,6,TOGGLE_PLAYER_LAYER__BACK,0,0,3,4
4,1,28,6,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,4
5,1,5,1,IA115,6,0,0,0
5,1,20,2,IA022,76,-34,0,0
5,1,20,25,IA031,0,-57,0,0
6,1,14,17,IA008,2,-49,0,0
7,1,4,22,IA012,0,-54,0,0
1,2,21,5,IA031,0,-69,0,0
2,2,23,11,IA115,1,0,0,0
3,2,30,2,IA045,-126,-66,0,0
3,2,15,6,IA021,0,0,2,7
3,2,0,11,IA024,0,-75,0,0
3,2,21,18,IA022,-117,-82,0,0
4,2,28,27,IA012,1,-91,0,0
5,2,27,23,IA115,4,0,0,0
6,2,18,0,IA013,0,-64,0,0
6,2,25,20,IA115,7,0,0,0
6,2,12,28,IA044,52,-92,0,0
7,2,4,12,IA012,0,-76,0,0
0,3,16,9,IA031,-16,0,0,0
1,3,26,3,IA021,-4,0,6,2
1,3,13,9,IA115,2,0,0,0
1,3,16,16,IA044,-48,-112,0,0
2,3,7,1,IA022,-71,-97,0,0
2,3,8,19,IA012,0,-115,0,0
3,3,26,9,IA115,5,0,0,0
3,3,18,11,TOGGLE_PLAYER_LAYER__BACK,0,0,6,3
3,3,18,14,TOGGLE_PLAYER_LAYER__BACK,0,0,3,22
3,3,21,14,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,21
3,3,8,15,IA023,-104,-111,0,0
4,3,13,10,IA008,0,-106,0,0
4,3,1,14,TOGGLE_PLAYER_LAYER__BACK,0,0,3,4
4,3,4,14,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,4
5,3,23,21,IA031,73,0,0,0
2,4,23,7,IA115,3,0,0,0
2,4,8,8,IA011,1,120,0,0
