Adv2,INTERACTABLES,8,5,,,,,
0,1,14,26,IA106,10,0,20,3
0,1,20,26,IA111,-20,20,2,4
1,1,30,21,IA021,0,0,5,2
1,1,26,28,IA115,3,0,0,0
2,1,13,13,IA021,0,0,7,2
2,1,28,21,IA021,-3,0,5,2
3,1,15,28,IA115,2,0,0,0
4,1,4,12,IA013,0,-44,0,0
4,1,10,18,IA069,1,0,12,5
4,1,16,30,IA069,0,0,18,5
5,1,29,4,IA115,0,0,0,0
5,1,5,13,IA022,91,-45,0,0
5,1,5,23,IA022,91,-55,0,0
2,2,6,3,IA025,-70,-67,0,0
2,2,30,7,IA025,-94,-71,0,0
5,2,20,2,HOOK_RAIL,2,-66,0,0
6,2,28,0,IA111,36,20,3,4
6,2,3,8,IA115,6,0,0,0
7,2,2,0,IA106,-8,0,20,3
0,3,27,22,IA110,0,16,1,0
1,3,31,0,IA023,-63,-96,0,0
1,3,28,24,IA115,4,0,0,0
1,3,6,25,IA008,0,-121,0,0
3,3,18,6,IA115,5,0,0,0
4,3,7,12,IA023,121,-108,0,0
4,3,11,12,IA115,1,0,0,0
6,3,21,28,IA110,0,9,1,0
6,3,1,30,IA115,7,0,0,0
6,3,12,31,IA010,3,-127,0,0
0,4,14,2,IA106,0,-75,60,2
0,4,27,2,IA106,-16,0,20,1
6,4,21,2,IA106,17,0,20,1
7,4,2,2,IA106,0,-69,60,2
