Adv2,INTERACTABLES,8,6,,,,,
3,0,24,24,IA031,0,-24,0,0
1,1,30,27,IA091,11,5,10,2
1,1,30,27,IA091,5,5,10,2
1,1,30,27,IA091,0,5,10,2
1,1,13,30,IA015,2,-62,0,0
3,1,24,4,IA031,-120,0,0,0
3,1,0,10,IA115,0,0,0,0
4,1,1,4,IA115,1,0,0,0
5,1,19,27,IA091,5,5,10,2
5,1,19,27,IA091,11,5,10,2
5,1,19,27,IA091,0,5,10,2
6,1,3,30,IA014,2,-62,0,0
1,2,14,19,IA009,0,-83,0,0
2,2,13,8,IA115,3,0,0,0
3,2,12,2,IA090,0,0,18,19
3,2,21,9,IA103,-117,-73,0,0
5,2,5,8,IA115,2,0,0,0
6,2,2,19,IA009,0,-83,0,0
0,3,12,6,IA047,0,-102,0,0
1,3,0,10,IA109,1,0,2,17
1,3,5,10,IA109,2,0,2,17
1,3,28,30,IA021,0,-5,2,7
2,3,6,1,IA008,2,-97,0,0
2,3,20,16,IA109,2,0,2,17
2,3,25,16,IA109,1,0,2,17
2,3,11,20,IA115,7,0,0,0
2,3,6,30,IA021,0,0,2,8
3,3,21,1,IA081,0,0,5,2
3,3,22,17,IA081,-2,0,4,2
3,3,30,24,IA115,4,0,0,0
3,3,15,29,IA009,1,-125,0,0
3,3,24,29,IA009,1,-125,0,0
4,3,21,16,IA109,1,0,2,17
4,3,26,16,IA109,2,0,2,17
4,3,2,29,IA009,1,-125,0,0
5,3,10,1,IA008,2,-97,0,0
5,3,8,30,IA021,0,0,2,7
5,3,18,30,IA021,0,-5,2,7
6,3,21,0,IA115,5,0,0,0
6,3,9,10,IA109,2,0,2,17
6,3,14,10,IA109,1,0,2,17
7,3,4,6,IA047,28,0,0,0
4,4,31,6,IA115,6,0,0,0
