Adv2,INTERACTABLES,42,10,,,,,
20,0,11,0,TOGGLE_PLAYER_LAYER__BACK,0,0,5,12
20,0,16,0,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,12
20,0,11,12,TOGGLE_PLAYER_LAYER__BACK,0,0,5,14
20,0,16,12,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,14
20,0,10,24,CHECKPOINT,1,-24,0,0
21,0,20,18,TOGGLE_PLAYER_LAYER__BACK,0,0,4,7
21,0,24,25,IA010,72,-25,0,0
21,0,29,26,IA010,0,-26,0,0
23,0,7,21,IA069,0,0,13,5
23,0,19,30,IA069,0,0,13,5
24,0,9,31,SPECIAL_SPRING,-9,-31,0,0
29,0,15,0,TOGGLE_PLAYER_LAYER__BACK,0,0,3,7
29,0,18,0,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,7
29,0,15,7,TOGGLE_PLAYER_LAYER__BACK,0,0,3,9
29,0,18,7,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,9
29,0,15,16,TOGGLE_PLAYER_LAYER__BACK,0,0,3,10
29,0,18,16,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,10
29,0,15,26,TOGGLE_PLAYER_LAYER__BACK,0,0,3,11
29,0,18,26,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,11
37,0,20,31,IA112,0,-31,0,0
38,0,9,18,IA112,0,-18,0,0
38,0,10,19,IA106,50,0,40,7
38,0,29,31,IA112,1,-31,0,0
39,0,7,9,IA112,0,-9,0,0
39,0,8,10,IA106,50,0,40,9
39,0,8,19,IA106,0,-30,20,8
39,0,9,19,IA112,3,-19,0,0
40,0,4,4,IA003,-4,-4,0,0
40,0,1,9,IA112,1,-9,0,0
40,0,0,10,IA106,0,90,70,10
10,1,18,25,IA112,0,-57,0,0
10,1,19,26,IA106,56,0,45,2
12,1,1,26,IA111,127,30,2,3
16,1,13,16,IA001,-13,-48,0,0
17,1,17,16,IA001,-49,-48,0,0
18,1,21,16,IA001,-85,-48,0,0
19,1,26,0,IA021,0,0,2,6
20,1,20,2,TOGGLE_PLAYER_LAYER__FRONT,0,0,4,6
20,1,20,9,IA011,0,-41,0,0
21,1,29,16,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,13
22,1,4,0,IA013,0,-32,0,0
22,1,27,13,IA069,0,0,13,5
22,1,0,16,TOGGLE_PLAYER_LAYER__BACK,0,0,3,13
22,1,19,16,IA005,45,-48,0,0
26,1,21,30,IA055,1,0,9,2
27,1,21,17,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,20
27,1,24,17,TOGGLE_PLAYER_LAYER__BACK,0,0,3,4
27,1,10,26,IA081,0,0,2,5
28,1,1,12,IA001,127,-44,0,0
28,1,4,25,TOGGLE_PLAYER_LAYER__BACK,0,0,6,3
28,1,4,28,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,9
28,1,7,28,TOGGLE_PLAYER_LAYER__BACK,0,0,3,9
29,1,15,5,TOGGLE_PLAYER_LAYER__BACK,0,0,3,11
29,1,18,5,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,11
29,1,15,16,TOGGLE_PLAYER_LAYER__BACK,0,0,3,13
29,1,18,16,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,13
29,1,17,28,IA005,79,-60,0,0
32,1,8,2,IA003,-8,-34,0,0
32,1,8,6,IA003,-8,-38,0,0
37,1,21,0,IA106,50,0,40,4
37,1,31,11,IA112,0,-43,0,0
37,1,24,15,IA112,0,-47,0,0
37,1,25,16,IA106,0,60,50,4
37,1,31,23,IA112,2,-55,0,0
38,1,28,0,IA106,0,20,15,5
38,1,0,11,IA106,0,20,15,7
